animal,epoch,cell_num,Var4_1,Var4_2,Var4_3,Var4_4,Var4_5,Var4_6,Var4_7,Var4_8,Var4_9,Var4_10,Var4_11,Var4_12,Var4_13,Var4_14,Var4_15,Var4_16,Var4_17,Var4_18,Var4_19,Var4_20,Var4_21,Var4_22,Var4_23,Var4_24,Var4_25,Var4_26,Var4_27,Var4_28,Var4_29,Var4_30,Var4_31,Var4_32,Var4_33,Var4_34,Var4_35,Var4_36,Var4_37,Var4_38,Var4_39,Var4_40,Var4_41,Var4_42,Var4_43,Var4_44,Var4_45,Var4_46,Var4_47,Var4_48,Var4_49,Var4_50,Var4_51,Var4_52,Var4_53,Var4_54,Var4_55,Var4_56,Var4_57,Var4_58,Var4_59,Var4_60,Var4_61,Var4_62,Var4_63,Var4_64,Var4_65,Var4_66,Var4_67,Var4_68,Var4_69,Var4_70,Var4_71,Var4_72,Var4_73,Var4_74,Var4_75,Var4_76,Var4_77,Var4_78,Var4_79,Var4_80,Var4_81,Var4_82,Var4_83,Var4_84,Var4_85,Var4_86,Var4_87,Var4_88,Var4_89,Var4_90,Var4_91,Var4_92,Var4_93,Var4_94,Var4_95,Var4_96,Var4_97,Var4_98,Var4_99,Var4_100,Var4_101,Var4_102,Var4_103,Var4_104,Var4_105,Var4_106,Var4_107,Var4_108,Var4_109,Var4_110,Var4_111,Var4_112,Var4_113,Var4_114,Var4_115,Var4_116,Var4_117,Var4_118,Var4_119,Var4_120,Var4_121,Var4_122,Var4_123,Var4_124,Var4_125,Var4_126,Var4_127,Var4_128,Var4_129,Var4_130,Var4_131,Var4_132,Var4_133,Var4_134,Var4_135,Var4_136,Var4_137,Var4_138,Var4_139,Var4_140,Var4_141,Var4_142,Var4_143,Var4_144,Var4_145,Var4_146,Var4_147,Var4_148,Var4_149,Var4_150,Var4_151,Var4_152,Var4_153,Var4_154,Var4_155,Var4_156,Var4_157,Var4_158,Var4_159,Var4_160,Var4_161,Var4_162,Var4_163,Var4_164,Var4_165,Var4_166,Var4_167,Var4_168,Var4_169,Var4_170,Var4_171,Var4_172,Var4_173,Var4_174,Var4_175,Var4_176,Var4_177,Var4_178,Var4_179,Var4_180,Var4_181,Var4_182,Var4_183,Var4_184,Var4_185,Var4_186,Var4_187,Var4_188,Var4_189,Var4_190,Var4_191,Var4_192,Var4_193,Var4_194,Var4_195,Var4_196,Var4_197,Var4_198,Var4_199,Var4_200,Var4_201,Var4_202,Var4_203,Var4_204,Var4_205,Var4_206,Var4_207,Var4_208,Var4_209,Var4_210,Var4_211,Var4_212,Var4_213,Var4_214,Var4_215,Var4_216,Var4_217,Var4_218,Var4_219,Var4_220,Var4_221,Var4_222,Var4_223,Var4_224,Var4_225,Var4_226,Var4_227,Var4_228,Var4_229,Var4_230,Var4_231,Var4_232,Var4_233,Var4_234,Var4_235,Var4_236,Var4_237,Var4_238,Var4_239,Var4_240,Var4_241,Var4_242,Var4_243,Var4_244,Var4_245,Deviation_Score,P_val
440,1,1,0.575151154,-4.152144564,-0.571306414,-1.89720969,1.46979619,13.9385077,-1.279757819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.626916842552894,20.3
440,1,2,5.350138619,0.851216292,0.617156249000001,6.82429999994127e-05,4.87987997,4.947025933,-0.0212126029999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982756753112762,88.5
440,1,3,1.918829655,1.43772461,0.711467073,-1.032763538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.826668862483391,84.6
440,1,4,-1.26858714,0.141234832,-0.0486088499999999,-3.713887165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.431698235948007,28
440,1,5,5.350138619,1.80105964,14.24742204,-0.144176863,-3.476084498,14.95011185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71653711807081,99.6
440,1,6,0.325215978999999,5.350138619,-2.481985732,0.971508308000001,6.08490581,-2.45940289,-1.07055599,0.384194005,-0.64934279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.561575616580247,74.5
440,1,7,6.35760481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3222398019655,95.3
440,1,8,0.0927034939999993,-5.648396469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.882080769538519,7.4
440,1,9,0.299049949,-0.655605821,0.424200300000001,4.87987997,2.6894565,10.5209895,4.582119954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09124373836937,98.6
440,1,10,0.970840973,0.959781855,-0.181117742,-0.257310082,0.0636267369999999,-0.757778886000001,-0.111286327999999,-2.158154145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19684165243827,41.2
