animal,epoch,cell_num,Deviation_Score,P_val
440,1,1,NaN,NaN
440,1,2,NaN,NaN
440,1,3,-0.093468294753718,58.2
440,1,4,NaN,NaN
440,1,5,NaN,NaN
440,1,6,NaN,NaN
440,1,7,NaN,NaN
440,1,8,NaN,NaN
440,1,9,NaN,NaN
440,1,10,-0.422230603779005,18.7
440,1,11,NaN,NaN
440,1,12,NaN,NaN
440,1,13,NaN,NaN
440,1,14,NaN,NaN
440,1,15,NaN,NaN
440,1,16,0.181851772759952,77.5
440,1,17,0.200106149755075,80.2
440,1,18,0.27931073110792,85.1
440,1,19,NaN,NaN
440,1,20,NaN,NaN
440,1,21,-1.10048997358865,3.7
440,1,22,-0.0995637027035175,57.4
440,1,23,NaN,NaN
440,1,24,-0.695840815337407,7.6
440,1,25,-0.441886711857217,21.4
440,1,26,NaN,NaN
440,1,27,-0.316475726159588,25.4
440,1,28,NaN,NaN
440,1,29,NaN,NaN
440,1,30,NaN,NaN
440,1,31,NaN,NaN
440,1,32,NaN,NaN
440,1,33,NaN,NaN
440,1,34,NaN,NaN
440,1,35,NaN,NaN
440,1,36,NaN,NaN
440,1,37,NaN,NaN
440,1,38,NaN,NaN
440,1,39,NaN,NaN
440,1,40,-0.196245097203724,44.1
440,1,41,NaN,NaN
440,1,42,NaN,NaN
440,1,43,NaN,NaN
440,1,44,NaN,NaN
440,2,1,NaN,NaN
440,2,2,-0.866057106015757,4.4
440,2,3,0.327327051478619,73.4
440,2,4,-0.79271025662116,15.2
440,2,5,NaN,NaN
440,2,6,0.446375438935483,77.6
440,2,7,NaN,NaN
440,2,8,-0.122738046676676,62.4
440,2,9,NaN,NaN
440,2,10,-0.448617084666331,20
440,2,11,-0.355016352781898,27.8
440,2,12,-0.723032778242587,4.9
440,2,13,0.221752857113626,69.1
440,2,14,0.639549697131955,85.3
440,2,15,0.388962971902598,82.9
440,2,16,NaN,NaN
440,2,17,1.35116914964755,92.8
440,2,18,-0.199172952708146,64.3
440,2,19,-0.120213233684063,52
440,2,20,1.34539219374041,96
440,2,21,3.56618056305361,98.1
440,2,22,1.35422289473038,90.7
440,2,23,NaN,NaN
440,2,24,-0.462536335321397,23.9
440,3,1,0.183545540080561,76.8
440,3,2,-0.0271946420286523,48
440,3,3,-0.219961855287886,27
440,3,4,-0.0202082287488221,55
440,3,5,-0.420221300261193,21.5
440,3,6,NaN,NaN
440,3,7,0.099463893558267,69.4
440,3,8,0.472486416002772,79.9
440,3,9,0.457392385297584,78.6
440,3,10,-0.0417087674913307,57.1
440,3,11,-0.0402668118611472,48.7
440,3,12,0.0744908337245329,63.6
440,3,13,-5.89558678414807,0
440,3,14,-0.0196884139144814,54.9
445,1,1,0.798749099413002,84
445,1,2,-0.126906982769228,45.3
445,1,3,0.0663998247349762,57.8
445,1,4,-0.0893807891209053,45.6
445,1,5,1.99978519443115,96.3
445,1,6,0.0497473301790575,57.1
445,1,7,-0.292107304315164,35.1
445,1,8,-0.337286372696831,31
445,1,9,-0.979884532396877,13
445,1,10,-1.30604283525969,7.4
445,1,11,NaN,NaN
445,1,12,-0.713319082169134,8.9
445,1,13,-0.707207125195834,14.1
445,1,14,-1.16412948971058,8.5
445,1,15,-0.323991989311485,32.1
445,1,16,0.734340916260984,91.3
445,1,17,0.518347719932761,78.4
445,1,18,-0.306026311420408,31.9
445,1,19,NaN,NaN
445,1,20,NaN,NaN
445,1,21,-3.43060132670343,0.6
445,1,22,0.450433985277949,78.5
445,1,23,0.495738622271055,79
445,1,24,-0.416210577725751,29.1
445,1,25,-1.82307605195645,3.7
445,1,26,-0.690507902525446,20.9
445,1,27,-0.545949235715263,22.7
445,1,28,-0.121307563738074,43.2
445,1,29,1.04902802436065,88.5
445,1,30,-0.0595724709463849,47.6
445,1,31,0.794115688420285,83.3
445,1,32,-0.248974927379668,38.1
445,1,33,-0.847746954262175,16.3
445,1,34,0.400277852086808,70
445,1,35,0.327651814802572,72.4
445,1,36,-0.664589747975466,20.7
445,1,37,0.11132281052788,55.6
445,1,38,0.188246285804036,63.2
445,1,39,-0.265993514870381,36.1
445,1,40,-0.0446143941256141,47.7
445,1,41,0.0478780703734183,53
445,1,42,-0.88090228262696,14.5
445,1,43,0.00974352042792598,49.6
445,1,44,0.607860208542171,78.8
445,1,45,0.347866238982778,70.5
445,1,46,0.0692923525705632,56.5
445,1,47,-1.09698665873408,10.1
445,1,48,-0.396274037313176,30.5
445,1,49,0.0369334701725498,56.5
445,2,1,-0.830238875025569,12.9
445,2,2,NaN,NaN
445,2,3,-0.929786485595025,10.1
