animal,epoch,cell_num,Deviation_Score,P_val
440,1,1,0.626463750150167,78
440,1,2,-0.90616217351749,11.1
440,1,3,-0.381034420235289,24.6
440,1,4,-0.823449891818385,12
440,1,5,-2.72573222012544,1.8
440,1,6,-0.545056783901746,21.2
440,1,7,-1.4426151766081,6.9
440,1,8,0.944334526437225,94.8
440,1,9,-0.89814461439305,10.9
440,1,10,-0.386368772993979,29.5
440,1,11,-4.49345141473883,0.2
440,1,12,-1.81695721567531,4.2
440,1,13,0.28059437212779,67.1
440,1,14,-0.0288711433761372,48.1
440,1,15,-0.619653626130541,16.6
440,1,16,-0.537950576442441,19.2
440,1,17,-0.581468495161665,17.9
440,1,18,-6.99944585787125,0
440,1,19,-1.06094916755706,7.7
440,1,20,-2.2760599038102,1.8
440,1,21,-0.501909086652,22.3
440,1,22,-0.543529672442106,22
440,1,23,-0.822695237629931,12.3
440,1,24,0.0679196318814056,54.4
440,1,25,-0.243317331055672,37.9
440,1,26,0.841426257094831,82.2
440,1,27,0.970563228677355,85
440,1,28,-4.4742218908356,0
440,1,29,NaN,NaN
440,1,30,-2.74561178062927,1.3
440,1,31,-1.95678507759201,4.3
440,1,32,-1.17439258467279,8.7
440,1,33,0.463609619020853,74.6
440,1,34,0.690073051338032,83.5
440,1,35,-4.64824116127525,0.4
440,1,36,-4.98599169087528,0.3
440,1,37,0.730529943582144,82.2
440,1,38,-0.767374347721042,17
440,1,39,NaN,NaN
440,1,40,-1.37568865627648,6.7
440,1,41,0.323159386278355,69
440,1,42,0.0928090122592096,56.3
440,1,43,-1.04924293071954,10
440,1,44,0.559262312687762,77.8
440,2,1,1.18711324824676,89.8
440,2,2,-2.04623879415628,2.5
440,2,3,0.001589714604828,51.4
440,2,4,-4.21927543311182,0
440,2,5,-0.593813065943042,21.7
440,2,6,0.483224063392951,77.4
440,2,7,-0.00490008639207272,52.8
440,2,8,-1.19657786484407,7.6
440,2,9,-0.557709823062475,20.6
440,2,10,0.515848587061749,75.6
440,2,11,0.313520832726378,65.7
440,2,12,0.424267986918885,70.9
440,2,13,-0.79862168480302,18.6
440,2,14,-0.750770902574828,12.8
440,2,15,-0.787526327365717,18.8
440,2,16,-4.48779723688212,0.3
440,2,17,-4.233125836755,0.2
440,2,18,0.559443423809165,77.9
440,2,19,-0.233926733310015,34.4
440,2,20,1.79777146880851,97.1
440,2,21,-0.131165145505507,43.8
440,2,22,-0.427303971202536,28
440,2,23,-0.0345145669988565,51.3
440,2,24,-0.89042500834643,14.5
440,3,1,NaN,NaN
440,3,2,NaN,NaN
440,3,3,NaN,NaN
440,3,4,NaN,NaN
440,3,5,NaN,NaN
440,3,6,NaN,NaN
440,3,7,NaN,NaN
440,3,8,NaN,NaN
440,3,9,NaN,NaN
440,3,10,NaN,NaN
440,3,11,NaN,NaN
440,3,12,NaN,NaN
440,3,13,NaN,NaN
440,3,14,NaN,NaN
445,1,1,-0.0273066730847125,35.6
445,1,2,0.0932256800053892,41.6
445,1,3,-0.0853883755529603,26.6
445,1,4,2.02788683581003,97.7
445,1,5,0.0121176198651355,36.8
445,1,6,0.427457475563197,78.9
445,1,7,0.139349182431954,53.8
445,1,8,NaN,NaN
445,1,9,1.41630342609063,96.4
445,1,10,0.866197936768794,87.7
445,1,11,0.0175675927328272,37.9
445,1,12,1.31799482395945,94.3
445,1,13,-0.357207877384609,17.6
445,1,14,0.380390800553091,71.2
445,1,15,0.368300990131854,74.3
445,1,16,0.187785376756524,49.2
445,1,17,0.800958202430274,83.7
445,1,18,0.155041558593079,50
445,1,19,NaN,NaN
445,1,20,NaN,NaN
445,1,21,-0.646594672934282,13.1
445,1,22,-0.207822651118351,26.1
445,1,23,NaN,NaN
445,1,24,0.61431947214527,79
445,1,25,0.0207285559996308,32.3
445,1,26,0.324493809832202,71.6
445,1,27,1.14027353358993,93
445,1,28,0.755549360478488,83.5
445,1,29,-0.271338750419285,24
445,1,30,0.714924248653753,86.3
445,1,31,0.106516075068932,46.9
445,1,32,-0.288795610279724,23.8
445,1,33,0.0669576089648075,48.4
445,1,34,0.557958584884434,80.1
445,1,35,NaN,NaN
445,1,36,0.159305030279434,52.8
445,1,37,0.917747045648312,86.7
445,1,38,0.191325642867943,49.6
445,1,39,0.0242510874538153,37.2
445,1,40,1.22883261344303,93.5
445,1,41,0.68469608768312,87
