animal,epoch,cell_num,Deviation_Score,P_val
440,1,1,NaN,NaN
440,1,2,NaN,NaN
440,1,3,NaN,NaN
440,1,4,1.49093638140587,95.8
440,1,5,NaN,NaN
440,1,6,NaN,NaN
440,1,7,NaN,NaN
440,1,8,NaN,NaN
440,1,9,NaN,NaN
440,1,10,NaN,NaN
440,1,11,-2.21510969624375,2.9
440,1,12,NaN,NaN
440,1,13,0.498686073229784,68.8
440,1,14,NaN,NaN
440,1,15,NaN,NaN
440,1,16,NaN,NaN
440,1,17,NaN,NaN
440,1,18,NaN,NaN
440,1,19,NaN,NaN
440,1,20,NaN,NaN
440,1,21,NaN,NaN
440,1,22,NaN,NaN
440,1,23,1.28423311327529,91.5
440,1,24,NaN,NaN
440,1,25,0.442253853000107,66.5
440,1,26,NaN,NaN
440,1,27,NaN,NaN
440,1,28,NaN,NaN
440,1,29,NaN,NaN
440,1,30,NaN,NaN
440,1,31,NaN,NaN
440,1,32,NaN,NaN
440,1,33,NaN,NaN
440,1,34,NaN,NaN
440,1,35,NaN,NaN
440,1,36,NaN,NaN
440,1,37,NaN,NaN
440,1,38,NaN,NaN
440,1,39,NaN,NaN
440,1,40,NaN,NaN
440,1,41,NaN,NaN
440,1,42,NaN,NaN
440,1,43,NaN,NaN
440,1,44,NaN,NaN
440,2,1,-0.110473093355734,47.8
440,2,2,-0.255647751178417,31.6
440,2,3,-0.39515063722089,24.2
440,2,4,1.09765842401214,93.4
440,2,5,-0.374418545404577,22.5
440,2,6,-0.268087646064565,36.4
440,2,7,-0.0747691166993926,53.2
440,2,8,3.28040226175672,99
440,2,9,0.0592977939026368,63
440,2,10,0.474752652921943,83.4
440,2,11,-0.260454461863275,39.4
440,2,12,-0.12684900698209,44.6
440,2,13,-0.40807675068254,24.1
440,2,14,-1.1465907224926,4.5
440,2,15,-1.55563042880513,4.6
440,2,16,1.07148619316355,87.3
440,2,17,0.128269884140481,77.2
440,2,18,0.34201109531514,66.2
440,2,19,-0.693013613638378,24.2
440,2,20,-0.0727475967656117,43.8
440,2,21,0.410119819643445,71.1
440,2,22,0.277148907549612,83
440,2,23,0.367145040800835,66.3
440,2,24,-1.04723564075903,12.8
440,3,1,NaN,NaN
440,3,2,NaN,NaN
440,3,3,-3.66826029306614,0.1
440,3,4,-0.424498532067953,21.7
440,3,5,-0.420303794631477,24.2
440,3,6,NaN,NaN
440,3,7,NaN,NaN
440,3,8,0.0536838513811453,53.1
440,3,9,0.145214760340546,71
440,3,10,NaN,NaN
440,3,11,NaN,NaN
440,3,12,-1.83143411626652,5.4
440,3,13,NaN,NaN
440,3,14,0.184573167293609,67.7
445,1,1,0.32054716919314,88.2
445,1,2,0.0351530639458308,37.9
445,1,3,-0.057020784571471,20.8
445,1,4,NaN,NaN
445,1,5,NaN,NaN
445,1,6,0.0716229073164715,52.3
445,1,7,0.103808273783665,66.2
445,1,8,NaN,NaN
445,1,9,NaN,NaN
445,1,10,NaN,NaN
445,1,11,NaN,NaN
445,1,12,NaN,NaN
445,1,13,0.108574617566047,55.7
445,1,14,0.0918434393384267,58.4
445,1,15,NaN,NaN
445,1,16,0.107652501894124,59.2
445,1,17,1.75076800847976,97.1
445,1,18,-0.184045179276186,14.7
445,1,19,0.0489834131324216,62.7
445,1,20,NaN,NaN
445,1,21,NaN,NaN
445,1,22,0.102853340983694,51.8
445,1,23,NaN,NaN
445,1,24,0.209875513648765,78.2
445,1,25,NaN,NaN
445,1,26,-0.0933582047326559,28.9
445,1,27,-0.11611580272054,14.5
445,1,28,NaN,NaN
445,1,29,-0.15785927727706,12.9
445,1,30,0.253914256619486,74.9
445,1,31,0.546330334112983,89.5
445,1,32,-1.17850093358868,3.3
445,1,33,0.0311767753319914,37.3
445,1,34,0.0609344185182247,64.1
445,1,35,0.000503995042028197,50.8
445,1,36,0.106358263098021,71.8
445,1,37,0.0145044197132411,61.8
445,1,38,-0.168886737345598,13.5
445,1,39,0.180495946385833,80.4
445,1,40,0.0891628742406965,39.9
445,1,41,0.285063853345028,86.1
445,1,42,0.437464538923549,85.7
445,1,43,-0.106470519858923,34.2
445,1,44,1.16126705866272,95.9
445,1,45,-0.0938561456858304,30
445,1,46,0.0282557282095057,63.7
445,1,47,0.450787216375595,89.5
445,1,48,-0.983922444610366,3.2
445,1,49,NaN,NaN
445,2,1,-0.0533481642943069,34.4
445,2,2,-0.460860835985909,15.3
445,2,3,2.7085249661177,98.8
445,2,4,-0.167381530902866,25.6
445,2,5,-0.640701128468039,10.7
445,2,6,0.0108009546193851,42.9
