animal,epoch,cell_num,Deviation_Score,P_val
440,1,1,NaN,NaN
440,1,2,NaN,NaN
440,1,3,0.243371488648754,67.7
440,1,4,NaN,NaN
440,1,5,NaN,NaN
440,1,6,NaN,NaN
440,1,7,NaN,NaN
440,1,8,NaN,NaN
440,1,9,NaN,NaN
440,1,10,0.212722792307807,65.5
440,1,11,NaN,NaN
440,1,12,NaN,NaN
440,1,13,NaN,NaN
440,1,14,NaN,NaN
440,1,15,NaN,NaN
440,1,16,-0.227751685979806,25.7
440,1,17,0.040669953301834,39.3
440,1,18,-0.445044818055484,16.8
440,1,19,NaN,NaN
440,1,20,NaN,NaN
440,1,21,0.829241217055788,92.5
440,1,22,0.13853700806738,48.4
440,1,23,NaN,NaN
440,1,24,0.536876613881627,82.5
440,1,25,0.34662417875333,69.9
440,1,26,NaN,NaN
440,1,27,1.30231197822639,95.1
440,1,28,NaN,NaN
440,1,29,NaN,NaN
440,1,30,NaN,NaN
440,1,31,NaN,NaN
440,1,32,NaN,NaN
440,1,33,NaN,NaN
440,1,34,NaN,NaN
440,1,35,NaN,NaN
440,1,36,NaN,NaN
440,1,37,NaN,NaN
440,1,38,NaN,NaN
440,1,39,NaN,NaN
440,1,40,0.841699970895732,90
440,1,41,NaN,NaN
440,1,42,NaN,NaN
440,1,43,NaN,NaN
440,1,44,NaN,NaN
440,2,1,NaN,NaN
440,2,2,1.65533614284692,99.4
440,2,3,-0.45203912271357,10.9
440,2,4,0.0379689545671499,60
440,2,5,NaN,NaN
440,2,6,0.0372670847321319,50.4
440,2,7,NaN,NaN
440,2,8,0.712397149100018,85.5
440,2,9,NaN,NaN
440,2,10,0.217803435657665,59.2
440,2,11,0.2104489468486,59.9
440,2,12,1.36747881653085,97.5
440,2,13,-0.00272498262354241,43.8
440,2,14,0.0951768546906024,38.8
440,2,15,0.446928043026163,63.7
440,2,16,NaN,NaN
440,2,17,-2.70834752122794,0.8
440,2,18,NaN,NaN
440,2,19,0.059178118624996,33.6
440,2,20,-0.0249350495830617,38.2
440,2,21,0.297410621639646,74.8
440,2,22,-1.89990156068777,10.1
440,2,23,NaN,NaN
440,2,24,0.0850189055045809,51.4
440,3,1,-0.206838685295135,29.2
440,3,2,-0.590347743859325,10.1
440,3,3,1.32305798766327,91.8
440,3,4,-0.831979081388936,17.2
440,3,5,0.0154386612657797,53.9
440,3,6,NaN,NaN
440,3,7,-0.589619521482749,9.8
440,3,8,-0.631993905892688,20.3
440,3,9,-0.419174424050832,34.5
440,3,10,-0.491529853449172,24.8
440,3,11,0.833586722967388,81.8
440,3,12,-1.15984988245494,8.2
440,3,13,2.01551502839614,96.3
440,3,14,-1.17475791706926,8.7
445,1,1,-1.2867142125431,7.6
445,1,2,-0.0294697252317762,38.1
445,1,3,-0.445779683229007,19.9
445,1,4,-0.693875437586419,11.5
445,1,5,-0.12303602626691,38.4
445,1,6,0.53328580301506,75.8
445,1,7,-0.842653875796363,11.6
445,1,8,0.172725823283242,73.8
445,1,9,1.70059988479253,97.4
445,1,10,5.95602804249903,100
445,1,11,NaN,NaN
445,1,12,-0.374232090782253,17.6
445,1,13,1.59648114402611,94.1
445,1,14,0.641144107806106,85.5
445,1,15,-0.226166924817508,28.9
445,1,16,1.87608973610225,95.2
445,1,17,-0.141878122782186,32.8
445,1,18,-0.181252723052325,23.3
445,1,19,NaN,NaN
445,1,20,NaN,NaN
445,1,21,3.25023561467685,99.9
445,1,22,0.178364882004267,65.2
445,1,23,-0.178632478399161,27.9
445,1,24,-0.932240064568034,11.8
445,1,25,-0.352638542929048,24.2
445,1,26,1.7902101253656,97.7
445,1,27,-0.92209045332621,11.4
445,1,28,-0.404609821021615,20.8
445,1,29,0.0178039751171734,47.5
445,1,30,-0.00149400623480332,47.3
445,1,31,0.467446601891266,82.3
445,1,32,0.903334442689213,88.9
445,1,33,-0.243978785413326,35.5
445,1,34,-0.0856009973347788,40.8
445,1,35,0.165472992953855,66.6
445,1,36,2.26300700637655,98.2
445,1,37,-0.581467510663414,19.7
445,1,38,0.234352092243303,73.3
445,1,39,0.237753719309548,61.1
445,1,40,-0.301555639549926,30.6
445,1,41,0.867432310868224,86.6
445,1,42,0.0608069180221707,51.4
445,1,43,0.470777419139597,80.8
445,1,44,-0.396889770685782,29.3
445,1,45,-0.457079942722375,22.9
445,1,46,-0.304903645911271,20.9
445,1,47,-3.92178063582614,0.5
445,1,48,1.22565812990706,94
445,1,49,0.095132381278353,57.6
445,2,1,0.715040126064034,80.8
445,2,2,NaN,NaN
445,2,3,0.764970524730874,83.2
