animal,epoch,cell_num,Deviation_Score,P_val
440,1,1,NaN,NaN
440,1,2,NaN,NaN
440,1,3,NaN,NaN
440,1,4,NaN,NaN
440,1,5,NaN,NaN
440,1,6,NaN,NaN
440,1,7,NaN,NaN
440,1,8,NaN,NaN
440,1,9,NaN,NaN
440,1,10,NaN,NaN
440,1,11,NaN,NaN
440,1,12,NaN,NaN
440,1,13,NaN,NaN
440,1,14,NaN,NaN
440,1,15,NaN,NaN
440,1,16,NaN,NaN
440,1,17,NaN,NaN
440,1,18,NaN,NaN
440,1,19,NaN,NaN
440,1,20,NaN,NaN
440,1,21,NaN,NaN
440,1,22,NaN,NaN
440,1,23,NaN,NaN
440,1,24,NaN,NaN
440,1,25,NaN,NaN
440,1,26,NaN,NaN
440,1,27,NaN,NaN
440,1,28,NaN,NaN
440,1,29,NaN,NaN
440,1,30,NaN,NaN
440,1,31,NaN,NaN
440,1,32,NaN,NaN
440,1,33,NaN,NaN
440,1,34,NaN,NaN
440,1,35,NaN,NaN
440,1,36,NaN,NaN
440,1,37,NaN,NaN
440,1,38,NaN,NaN
440,1,39,NaN,NaN
440,1,40,NaN,NaN
440,1,41,NaN,NaN
440,1,42,NaN,NaN
440,1,43,NaN,NaN
440,1,44,NaN,NaN
440,2,1,NaN,NaN
440,2,2,NaN,NaN
440,2,3,0.136253347497137,45
440,2,4,-1.99249054265474,6.7
440,2,5,NaN,NaN
440,2,6,0.0370884166157018,40.2
440,2,7,NaN,NaN
440,2,8,NaN,NaN
440,2,9,NaN,NaN
440,2,10,NaN,NaN
440,2,11,NaN,NaN
440,2,12,NaN,NaN
440,2,13,0.0111887745201253,38.2
440,2,14,-1.7029225019959,8
440,2,15,-1.40199213811668,11.2
440,2,16,NaN,NaN
440,2,17,-0.122947103438957,28.3
440,2,18,0.418258078531152,61.9
440,2,19,0.237066431829792,48.5
440,2,20,-1.247570544332,14.2
440,2,21,-2.6853820930061,5.3
440,2,22,NaN,NaN
440,2,23,NaN,NaN
440,2,24,NaN,NaN
440,3,1,0.0182833599812474,23.2
440,3,2,NaN,NaN
440,3,3,-0.341394795006921,13.2
440,3,4,-0.286705175942459,23.2
440,3,5,-1.86584799927992,3
440,3,6,NaN,NaN
440,3,7,0.0617137175977663,35.4
440,3,8,-0.675660307718794,11.2
440,3,9,0.279203282738963,74.2
440,3,10,-0.266915164386469,25.3
440,3,11,-0.653242008579269,21
440,3,12,-0.418687797277142,23.8
440,3,13,0.694964857690868,85.3
440,3,14,0.155870347121894,71.3
445,1,1,0.0750564311746033,36.4
445,1,2,0.155095299501132,70.5
445,1,3,0.997996495158547,94.2
445,1,4,0.110170494709637,61.8
445,1,5,0.0790617388505182,39
445,1,6,0.0413631977282034,35.5
445,1,7,0.099715603207626,56.1
445,1,8,1.47018475284675,96
445,1,9,0.674422660697858,91.5
445,1,10,NaN,NaN
445,1,11,NaN,NaN
445,1,12,NaN,NaN
445,1,13,-1.50019510436292,5.6
445,1,14,-1.37672473614212,5.5
445,1,15,NaN,NaN
445,1,16,-1.31475187939334,5.4
445,1,17,0.0345171357333015,31.3
445,1,18,0.0987281488914767,76
445,1,19,NaN,NaN
445,1,20,NaN,NaN
445,1,21,-2.6330600224899,1.9
445,1,22,NaN,NaN
445,1,23,-0.716067820134072,12
445,1,24,-0.0204899653592022,27.5
445,1,25,0.392682843447625,85.2
445,1,26,0.0797199685394674,54.8
445,1,27,-0.93794859887361,5.3
445,1,28,0.246910294712871,80
445,1,29,1.51750263273801,96.6
445,1,30,0.171155005774656,76.6
445,1,31,0.247174894084455,76
445,1,32,1.0130623309583,93.8
445,1,33,4.03361842694619,99.4
445,1,34,0.13719905838653,64.5
445,1,35,0.0537529079947835,45.5
445,1,36,0.288223599369208,77.2
445,1,37,0.108708371052912,54
445,1,38,0.106453977571329,53.4
445,1,39,-0.222879692077509,23.7
445,1,40,0.178435842330446,67.1
445,1,41,0.00401756130610106,35.6
445,1,42,-0.889622207939318,8.3
445,1,43,0.115757043392969,63
445,1,44,0.197163692396578,77.7
445,1,45,-1.12273099671632,6.6
445,1,46,0.11425050833375,49
445,1,47,-0.557477833734833,9.1
445,1,48,0.0684927955613251,51.7
445,1,49,2.20850520416839,96.2
445,2,1,0.495854736776641,77
445,2,2,NaN,NaN
445,2,3,0.319323689707449,69.8
445,2,4,NaN,NaN
445,2,5,0.343059523748041,71.4
445,2,6,0.351922107701292,65.3
445,2,7,NaN,NaN
445,2,8,-2.6818080132896,1.6
445,2,9,-0.471213483847347,21.9
445,2,10,NaN,NaN
